Sample	Group	Coverage_mean_Global	Coverage_std_Global	GC_percentage_Global	Mapping_quality_mean_Global	Insert_size_median_Global	coverage_across_reference_Dmel	coverage_across_reference_Holo	insert_size_across_reference_Dmel	insert_size_across_reference_Holo	mapping_quality_across_reference_Dmel	mapping_quality_across_reference_Holo	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION
UA_Kop_6_Sep_2019	REG	16.4069	25.3867	44	1.8611	495	37.7947813369447	0.0385737454070232	526.587816312596	0.561989912333201	56.7647356912382	0.0514309286983104	1490836	6478191	260521	0.288357
UA_Lut_28_Aug_2019	REG	14.399	21.5679	43.6	1.8597	451	33.1629353216308	0.0567020883436238	486.915095911966	0.526876661597673	56.7097582959203	0.0517844166211843	1947424	4021391	146830	0.244129
UA_Ode_15_Jun_2019	BAD	5.9364	15.7364	42.82	1.8566	428	13.7277910875465	0.0366248854104305	462.016365351524	0.4878725452346	56.6270599425034	0.0513207072670255	1124897	4133796	284251	0.414248
UA_Ode_15_Sep_2018	REG	18.6922	29.0227	44.1	1.8574	456	43.0027960243858	0.0676963246509683	491.107372653932	0.530060899954444	56.6461706694852	0.0515054994839976	3061914	6176771	238387	0.273643
UA_Ode_23_Sep_2017	BAD	13.1743	26.694	43.8	1.8589	566	30.4737496782463	0.0212138690086905	594.604845739218	0.623712012719225	56.7025684127287	0.0511821872889581	1106238	12146418	592950	0.455372
UA_Ode_30_Jun_2018	REG	16.2073	25.4132	44.37	1.8598	466	37.2632545494679	0.0305161865740357	500.091422031681	0.537993499830275	56.7250965205873	0.0513455482389376	1891758	4185444	153566	0.22745
UA_Pyr_25_Aug_2019	REG	15.4697	24.3186	43.96	1.8616	501	35.6149034649484	0.0470579625563942	534.167746899646	0.570956806657153	56.779799429145	0.0514074029136399	1277952	6643619	209617	0.301752
UA_Pyr_6_Sep_2019	REG	16.1779	25.8202	44.17	1.8598	490	37.2612554207942	0.0531038882923318	521.761207673036	0.559102294057613	56.7223236065297	0.0514426762912781	1577255	8072339	274896	0.334525
UA_Uma_14_Oct_2019	BAD	12.7288	21.6779	43.62	1.8563	460	29.3814313483675	0.0894516603222406	494.845920760404	0.520039949114856	56.6228102695818	0.0511911943857457	2620201	9774282	553245	0.426254
UA_Uma_19_Aug_2020	REG	13.8746	22.5326	44.39	1.8569	472	31.9455751272692	0.0245742670947076	508.355764575811	0.54364606289793	56.6340070953561	0.0514119554956622	1930820	5074705	225118	0.249853
UA_Uma_22_Sep_2018	REG	12.2503	18.355	44.13	1.8538	416	28.206746443066	0.0448446723749302	445.580219931831	0.480659694900005	56.5239626215075	0.0518266260819652	2450164	3436444	155379	0.265083
UA_Uma_27_Sep_2020	BAD	8.2792	33.8798	44.32	1.8554	531	19.1397520567359	0.0518715964699948	563.095392114156	0.602007099144813	56.6042333065981	0.0508071320173119	986759	9281709	459012	0.498889
UA_Uma_7_Oct_2017	REG	11.4053	23.0397	44.25	1.8503	435	26.2895343125182	0.0515652181421788	458.565693598767	0.484615134872599	56.4238199291056	0.0514596879566757	1709090	5035383	140791	0.318296
UA_Vys_18_Aug_2020	REG	17.7381	28.7735	44.08	1.8592	466	40.8079662433888	0.0709683948993098	496.181252592274	0.531007788137316	56.7071567945562	0.0513639972283821	2166533	5104078	217345	0.244154
UA_Vys_21_Sep_2020	BAD	5.9793	23.028	44.6	1.8538	536	13.8125282638404	0.0228448322924764	570.887214252084	0.6159246982284	56.5465173846731	0.0510452069611918	557652	4717196	328384	0.414921
UA_Vys_3_Sep_2017	BAD	12.0335	29.58	42.91	1.8579	569	27.8459398937215	0.152570140667874	594.863543487358	0.629395595432351	56.6711212765348	0.0512047392347638	900652	11687489	703832	0.460683
UA_Zap_17_June_2019	BAD	8.4886	18.2995	43.79	1.858	476	19.6061123916188	0.0377659560619174	513.637782810806	0.539712614108817	56.6721163699598	0.0513182411891812	1181280	5583777	427482	0.393133
VA_ch_14_Aug_2019	REG	15.6158	23.3933	43.54	1.8591	466	35.9584858564548	0.0331173016795731	494.824043812269	0.533263402613141	56.7043813227979	0.051344755989634	1823701	5061364	226954	0.25563
VA_ch_21_Aug_2020	BAD	2	19.8968	42.37	1.7824	458	4.9366422139913	0.00481292172206001	490.630336910334	0.404120968739004	54.3419437381583	0.0500082781006076	2023048	7588512	118231	0.495917
VA_ch_30_Sep_2020	BAD	1.4337	14.0508	42.33	1.7406	487	3.46478447979354	0.00403610976928065	524.630198343047	0.466585764475101	53.0469796624195	0.0495118360682908	1659273	11638607	555125	0.551654
VA_ch_6_Sep_2019	BAD	8.1126	36.0285	42.55	1.8473	483	19.0208897995696	0.0126767984405484	523.247344341051	0.532170198729827	56.3581563175774	0.0506076081327105	1658582	11556781	194353	0.550512
