Latitude	Longitude	In(2L)t	In(2R)Ns	In(3L)P	In(3R)Payne	DEST
52.142193	23.662434	0.143863421	0.039572976	0.037015903	0.029586448	1
45.25	-66.07	0	0.022222222	0	0	1
45.25	-66.07	0.020833333	0	0.007352941	0	1
45.25	-66.07	0.136853745	0.016256158	0.003338171	0	1
45.25	-66.07	0.082936508	0.016025641	0.005	0.012820513	1
45.25	-66.07	0.029545455	0.01509434	0.034175575	0	1
45.25	-66.07	0.018518519	0.0125	0	0	1
45.25	-66.07	0.058333333	0	0.011868687	0	1
45.25	-66.07	0.057856537	0.01261034	0.003147236	0	1
45.25	-66.07	0.037785292	0	0.007929293	0	1
45.25	-66.07	0.038059163	0.01038961	0.003527337	0	1
45.08	-64.37	0.018518519	0.030778165	0	0.03125	1
45.08	-64.37	0.041333666	0.016928904	0.001282051	0	1
45.08	-64.37	0.016608392	0.030837912	0	0	1
45.08	-64.37	0.076660795	0.046647142	0.004469507	0	1
45.08	-64.37	0	0.036101883	0	0	1
45.08	-64.37	0.025421245	0.011922504	0.003670158	0.005347594	1
45.08	-64.37	0.114387927	0.009718007	0.011080586	0	1
45.08	-64.37	0.094744733	0.028538413	0.001210654	0	1
45.08	-64.37	0.076094276	0.037478027	0.002873563	0	1
45.08	-64.37	0.079846939	0.063023088	0.002463054	0	1
46.53	-80.96	0.136867923	0.008824355	0.00140288	0.023239427	1
46.53	-80.96	0.135266042	0.037781899	0.001611951	0.037395995	1
46.71061	6.98713	0.320626387	0.117134298	0.058487799	0.099901355	1
46.5670416	6.701867	0.458892683	0.100852213	0.059214424	0.138464792	1
46.5670416	6.701867	0.357193789	0.071327353	0.067636291	0.045419167	1
46.5670416	6.701867	0.306640276	0.092502001	0.065562308	0.27803019	1
46.5670416	6.701867	0.443491822	0.113150127	0.020857071	0.122557877	1
46.93947	7.05332	0.185533562	0.091838717	0.042426076	0.056697	1
46.93947	7.05332	0.297230138	0.095827611	0.09784973	0.107900292	1
46.93947	7.05332	0.231650672	0.128688026	0.05587008	0.044387516	1
46.93947	7.05332	0.275859189	0.139813436	0.016857754	0.13759215	1
46.93947	7.05332	0.351367092	0.115011496	0.042376757	0.124029364	1
6.25	10.43	0.11031746	0.014285714	0.004615385	0.095588235	1
39.91	116.41	0	0.009244724	0.078846154	0	1
4.995972	-74.364194	0.08009038	0.119627196	0.040461891	0.474017091	1
4.967111	-74.083889	0.218711254	0.180383964	0.008670344	0.206070867	1
11.143611	-74.117778	0.077574827	0.030756637	0.004599513	0.741192977	1
4.489722	-75.311667	0.242449553	0.289725765	0.103405469	0.730346887	1
4.203889	-74.642778	0.282125039	0.308448606	0.096673858	0.698831285	1
35.066461	33.322646	0.320696331	0.010687245	0.139064972	0.135831404	1
48.218024	7.819513	0.199752204	0.040539083	0.014126081	0.080114926	1
48.218024	7.819513	0.094054072	0.048280427	0.013056074	0.04416977	1
48.218	7.82	0.280165307	0.076808072	0.000420227	0.072801028	1
48.218	7.82	0.192010862	0.059094397	0.027359145	0.081034949	1
48.218024	7.819513	0.054869591	0.015954441	0.012777311	0.092489134	1
48.218024	7.819513	0.106009983	0.031575496	0.000490326	0	1
48.217898	7.819194	0.078689858	0.022714848	0.00091617	0	1
48.217898	7.819194	0.160604688	0.023860591	0.022797627	0.057483776	1
48.217898	7.819194	0.123655951	0.046679727	0.013067867	0	1
48.217898	7.819194	0.411217051	0.012315271	0.173276939	0.091052047	1
48.217898	7.819194	0.093550861	0.0027753	0.109730744	0.143183298	1
48.217898	7.819194	0.1436668	0.048800003	0.012270618	0.020151519	1
48.217898	7.819194	0.09188437	0.035661035	0.042135571	0.065799529	1
47.622135	8.217058	0.092398875	0.033370019	0.109546208	0.052188476	1
47.622135	8.217058	0.37521322	0.108940733	0.060740802	0.042066848	1
48.18	11.61	0.352039356	0.137071573	0.000403551	0.028897804	1
48.18	11.61	0.497172306	0.109471267	0.038235504	0.018908683	1
48.18	11.61	0.342131287	0.041948921	0.01722681	0.07730279	1
48.18	11.61	0.176467609	0.121414726	0.002864888	0.041592375	1
48.18	11.61	0.149822047	0.141666965	0.002514339	0.01463284	1
48.18	11.61	0.280490207	0.073710429	0.008826209	0.043200801	1
48.18	11.61	0.203291281	0.084693288	0.013171314	0.006652098	1
48.18	11.61	0.437580825	0.051662517	0.038505842	0.040715192	1
48.18	11.61	0.231352781	0.075147438	0.041124186	0.046384062	1
48.18	11.61	0.319504968	0.090864962	0.043624067	0.008027361	1
48.18	11.61	0.303921989	0.082347556	0.058215364	0.022692993	1
48.18	11.61	0.362284843	0.109601259	0.013344757	0.104286935	1
48.18	11.61	0.463112345	0.031904257	0.032332497	0.059855285	1
48.18	11.61	0.400733549	0.048193471	0.037513843	0.088851084	1
48.18	11.61	0.413315637	0.05469644	0.015326088	0.038153155	1
48.18	11.61	0.380451872	0.062099649	0.031691658	0.036453754	1
49.780082	9.974293	0.33616857	0.099869974	0.019677746	0.22400306	1
49.778659	9.975929	0.26202896	0.080984914	0.033103663	0.057186918	1
49.778659	9.975929	0.237611492	0.047453355	0.017249808	0.086096765	1
49.780082	9.974293	0.139972669	0.073960006	0.040401008	0.076538331	1
52.69907	13.07596	0.075033283	0.01754386	0	0	1
52.38012	12.86791	0.144667666	0.031716736	0.001058201	0.013237556	1
55.945128	10.212586	0.069949194	0.066176444	0.000277778	0.00094697	1
55.945128	10.212586	0.050464705	0.039495811	0.000409836	0	1
55.945128	10.212586	0.356818446	0.085943188	0.003634545	0.000822368	1
55.945128	10.212586	0.146679674	0.07953846	0.002655161	0.000844595	1
55.945128	10.212586	0.129574292	0.067003442	0.002910177	0	1
55.945128	10.212586	0.058044756	0.038234733	0.000234742	0	1
55.945128	10.212586	0.146708845	0.014354067	0.018340712	0.031065969	1
55.945128	10.212586	0.051434804	0.024389594	0.000992063	0	1
55.945128	10.212586	0.104235763	0.057985142	0.000485147	0.00117096	1
55.945128	10.212586	0.049271706	0.014165353	0	0	1
55.945128	10.212586	0.079240331	0.107507173	0.000566893	0	1
55.945128	10.212586	0.065523339	0.074099125	0.000691802	0	1
-0.288806	-78.494472	0.281778385	0.00945604	0.138420307	0.059374278	1
30.1	31.32	0.462184874	0.183522112	0.002366864	0.006535948	1
39.1689	2.9849	0.165995426	0.0198862	0.046164871	0.037993028	1
41.38	2.17	0.122217396	0.048239241	0.078539233	0.062876167	1
41.38	2.17	0.259219596	0.092602527	0.020344951	0.028990558	1
38.97072081	-3.407212046	0.294933774	0.037849261	0.063304915	0.109824896	1
39.15805	-3.021	0.332393548	0.049865128	0.090399927	0.079877826	1
39.15805	-3.021	0.204684101	0.075459105	0.056204483	0.036231779	1
39.152529	-3.0616048	0.154995653	0.011677463	0.035441911	0.000822368	1
39.152529	-3.0616048	0.224159478	0.024267997	0.064524368	0.03512752	1
39.1567614	-3.0497293	0.284385477	0.005106892	0.062799919	0.050326662	1
39.17	-2.97	0.177573458	0.038352354	0.053476632	0.088454232	1
39.1567614	-3.0497293	0.289334719	0.019914188	0.055902397	0.008142458	1
37.353733	-3.167179	0.106281502	0.054118562	0.040854586	0.095571664	1
37.363279	-3.168799	0.258765101	0.072858783	0.081542202	0.065411122	1
37.661547	-2.79631	0.314656613	0.011465114	0.126391336	0.042092339	1
37.66177326	-2.796235346	0.243452737	0.027128934	0.058445449	0.101463299	1
37.3308	-3.173416	0.269793934	0.030715806	0.058952361	0.093486677	1
37.3377875	-3.1786148	0.225998107	0.053760512	0.053533443	0.073490355	1
41.6175899	0.6200146	0.320552858	0.011414735	0.103005645	0.0948287	1
41.6175899	0.6200146	0.165124938	0.028145828	0.098981822	0.220103921	1
41.656416	0.388472	0.255773766	0.010926653	0.080175977	0.206326432	1
41.656416	0.388472	0.241364154	0.013084454	0.061757116	0.21406772	1
41.656416	0.388472	0.289793908	0.013215738	0.073740205	0.076169767	1
41.656416	0.388472	0.307391141	0.019481851	0.092731727	0.229269182	1
41.65	0.38	0.148106147	0.05711257	0.134459017	0.323798513	1
41.656416	0.388472	0.263443883	0.027121729	0.124602905	0.412747042	1
41.656416	0.388472	0.271756817	0.011021505	0.083309965	0.260551926	1
41.65	0.38	0.306520717	0.030208903	0.084940384	0.260363484	1
41.656416	0.388472	0.221469867	0.011412766	0.087516434	0.164989349	1
41.656416	0.388472	0.303313117	0.012788846	0.178537777	0.306009523	1
41.651944	0.388889	0.104789441	0.019450856	0.025440495	0.256372549	1
41.485	0.522	0.203621034	0.014814522	0.059903964	0.200828543	1
40.06	-3.53	0.200313393	0.040357808	0.05609392	0.106380789	1
39.87	-3.32	0.175451873	0.037523035	0.086136606	0.082349892	1
41.53	-5.68	0.288196659	0.030037175	0.141951378	0.085786198	1
9.68	39.53	0	0.015873016	0.003125	0.011764706	1
8.25	34.59	0.035714286	0.013227513	0.011538462	0	1
6.98	39.18	0	0.00952381	0	0	1
9.81	38.63	0	0.011337868	0.003831845	0.006920415	1
7.26	36.25	0	0.00952381	0.009375	0	1
62	25	0.41884429	0.124122808	0.014287541	0	1
62.55	26.24	0.310643207	0.011727573	0	0.017466279	1
62.55	26.24	0.2771868	0.094451668	0	0.0330723	1
61.1	23.52	0.223397352	0.04703179	0.026940895	0	1
61.1	23.52	0.255380232	0.024196632	0.008663392	0.013884637	1
61.1	23.52	0.346618767	0.059786897	0.001239536	0.028354422	1
61.1	23.52	0.289833305	0.071851782	0.010454046	0	1
61.1	23.52	0.259068336	0.063757902	0.055564681	0.0095626	1
61.1	23.52	0.285374384	0.06671976	0.020409094	0.036890199	1
61.1	23.5	0.349808746	0.103793562	0.002003407	0	1
61.1	23.5	0.151936027	0.109182467	0.047551808	0.006512441	1
61.1	23.5	0.382420614	0.051344601	0.000814599	0.027015863	1
61.1	23.5	0.256325342	0.079540212	0.000750188	0.029718333	1
61.1	23.5	0.208211003	0.02259226	0.000558036	0.031169659	1
61.1	23.5	0.394391226	0.094564978	0.022442066	0	1
61.1	23.5	0.281534111	0.139171614	0.000702576	0.027313044	1
61.1	23.5	0.228163588	0.030646629	0	0.003676471	1
61.1	23.52	0.200875452	0.057166135	0.000584795	0	1
61.1	23.52	0.121713623	0.055329748	0.000641026	0	1
45.921	4.882	0.108351368	0.05044013	0.016214338	0	1
45.9	4.91	0.1619244	0.024190599	0.044561347	0.064707808	1
47.42884	5.0776	0.19848982	0.075587597	0.015525186	0.020782367	1
47.26735	5.45608	0.397639834	0.067141448	0.055837053	0.09734082	1
47.26735	5.45608	0.301290608	0.049347825	0.040536798	0.05114837	1
47.26624	5.45114	0.281362432	0.02190727	0.000212902	0.144931551	1
44.976813	4.930005	0.041814473	0.013525272	0.024187636	0.011277747	1
44.977	4.93	0.063109404	0.013984509	0.004494529	0.021204892	1
44.977	4.93	0.014939285	0.012871795	0.038276071	0.079536148	1
44.977	4.93	0.067043494	0.015350991	0.024874005	0.08739424	1
44.976813	4.930005	0.107151682	0.013768116	0	0.038176797	1
48.7543324	2.1584108	0.13870712	0.04627939	0.047023234	0.037270591	1
48.7543324	2.1584108	0.071876559	0.013497948	0.042675132	0.081359601	1
48.754	2.158	0.304705244	0.060946673	0.031837106	0.089128668	1
48.754	2.158	0.18316017	0.042546488	0.091854522	0.033740337	1
48.7543324	2.1584108	0.238661966	0.030191619	0.080339478	0.171149964	1
48.75	2.158	0.22966742	0.017858451	0.036755397	0.122201507	1
48.75	2.158	0.215356699	0.065414013	0.070417563	0.165234605	1
48.13	1.34	0.090006892	0.011693548	0.000961766	0.068913445	1
16.32	-61.78	0	0.011128151	0.000985929	0.484698326	1
16.25	-61.28	0.033931066	0.006299735	0.068657631	0.392204964	1
45	4	0.111845645	0.015688131	0.019033555	0.043927361	1
45	4	0	0	0	na	1
43.709061	3.848005	0.217374182	0.066477784	0.033175569	0.188530228	1
43.709061	3.848005	0.179146907	0.013995192	0.016635826	0.056037453	1
48.13	-1.58	0.057030581	0.010483871	0.028057235	0.01084895	1
48.13	-1.58	0.051437179	0	0.017862103	0.004731622	1
45.77	4.86	0.032503244	0.011264721	0.001134802	0.023540087	1
-1.65	13.6	0.560515873	0.015873016	0	0.31372549	1
51.099768	0.164408	0.06403449	0.03329856	0.025535185	0.058067323	1
51.099767	0.164407	0.160173808	0.040199346	0.012462154	0.027325372	1
55.9323	-3.1951	0.050611013	0.012831459	0.003389831	0.004785252	1
55.9324	-3.1952	0.130944263	0.009011385	0.001433692	0	1
55.972871	-3.351475	0.101070254	0.014476281	0.003849664	0.001278772	1
56.344534	-2.952766	0.033446696	0.011829551	0.000712149	0	1
56.3447	-2.9525	0.034723872	0.012549048	0	0	1
56.34716	-2.95054	0.113692952	0.010056203	0	0.015006562	1
51.351161	0.184561	0.125031211	0.070267976	0	0	1
52.433592	-1.102667	0.078773091	0.018387303	0.024403659	0.024321338	1
52.475769	-0.921517	0.011399989	0.017055289	0.025099435	0.039032772	1
52.4608	-0.959	0.039511684	0.010772909	0.013386917	0.00145745	1
52.46	-0.959	0.124574353	0.024533703	0.000167224	0.011114554	1
52.46086111	0.95902778	0.073710621	0.053124297	0.016903438	0.034061078	1
52.46086111	0.95902778	0.077214581	0.027248934	0	0	1
52.46086111	0.95902778	0.11356048	0.035009896	0.000728597	0.02228023	1
56.32034	-3.78092	0.195388117	0.071292235	0.001159829	0.001644737	1
56.3204	-3.781	0.092572715	0.035293729	0.004056437	0.003703704	1
53.39052	-1.520599	0.146264307	0.014401852	0.00162742	0.030175413	1
53.391	-1.521	0.25524254	0.010149934	0.000391986	0.040554091	1
10.7	-12.25	0.203571429	0.015873016	0.006153846	0.376470588	1
35.32188344	25.11104465	0.105722607	0.013582343	0.135395209	0	1
35.223236	25.108428	0	0	0	na	1
35.223236	25.108428	0.111198352	0.020822846	0.02638119	0.097561037	1
35.30654389	25.08007754	0.268346948	0.077601714	0.016166582	0.105763288	1
35.32188344	25.11104465	0.244650055	0.070216145	0.036142199	0.046857025	1
42.279	18.334	0.281722804	0.049070976	0.051791614	0.068601916	1
42.282	18.322	0.20876834	0.023109965	0.068083083	0.081021529	1
47.617361	18.892002	0.322321245	0.076622918	0.129352454	0.113143358	1
47.617361	18.892002	0.135191892	0.047478159	0.016732279	0.153776329	1
47.617361	18.892002	0.19480036	0.047223358	0.069402136	0.1071098	1
46.25	20.13	0.159645241	0.039042597	0.041285047	0.002530228	1
41.15	8.41	0.303027101	0.038579501	0.042574657	0.09462963	1
46.212856	11.08755	0.100590825	0.060885891	0.060321055	0.061127335	1
46.217939	11.123423	0.173608436	0.013328641	0.094399912	0.093267386	1
