NindDsimulans,Nmin1_conf0.9,Nmin5_conf0.9,Nmin1_conf0.95,Nmin5_conf0.95,ExpectedPercentage
0,1.37593831784489,0.663724268050268,1.3610824076466,0.624489014907718,0
2,3.96873057348538,3.25838233425318,4.00465143640901,3.27418248600356,2.5
4,6.30802096580465,5.58836112506193,6.39460854325124,5.65971135803265,5
6,8.80487631763356,8.11408833305557,8.93321650446854,8.23206319204531,7.5
8,11.1538382995836,10.4710843046528,11.3176814380219,10.6286853048496,10
10,13.7481552907144,13.0914519236877,13.9553592618068,13.2971577015118,12.5
12,16.0924329197532,15.4537933232628,16.3396072711349,15.7034682116187,15
14,18.6682223681835,18.0804212055561,18.9448547224738,18.3636307467657,17.5
16,21.0518401563851,20.427038561298,21.3724665011132,20.7566248983592,20
18,23.4238888869274,22.8096149167519,23.7559101251102,23.1528651475955,22.5
20,25.7293448974374,25.1698915585796,26.0866063734688,25.5425134237995,25
22,28.0442008301066,27.543698511216,28.4248004474948,27.9437290713442,27.5
24,30.6569262586217,30.2010505898916,31.0670821102558,30.634419663988,30
26,33.2039425665358,32.7834238721349,33.6327776129829,33.2379599239975,32.5
28,35.570013617844,35.206391273388,36.0176615957016,35.683239616295,35
30,38.0070385228161,37.7124450876676,38.4753135852747,38.2139915357741,37.5
32,40.3241837819758,40.1020911219753,40.8040903643182,40.6186419013801,40
34,42.5815765951447,42.308130213241,43.0722648009421,42.8344266503237,42.5
36,44.7477578957998,44.4429295589538,45.2570208808995,44.9879973025312,45
38,47.1314711673107,46.8299553869932,47.6538967493333,47.3890480624751,47.5
40,49.5119462167068,49.2410202843857,50.0437111566767,49.8110543939537,50
42,51.9568187954975,51.7239416763701,52.4700739739109,52.2752447056322,52.5
44,54.3732083960241,54.2061336353953,54.8743763265215,54.7464999659836,55
46,56.7857561167705,56.6694284395674,57.2794817366197,57.2032146680954,57.5
48,59.3094614010865,59.2950561235191,59.7552859750532,59.7793998601442,60
50,61.6850294160548,61.7106579908541,62.1442211512231,62.2102930968902,62.5
52,64.1816942333657,64.3151009268673,64.580575508774,64.7513388979505,65
54,66.7560357304467,67.0228240358007,67.1084821120975,67.4109382731708,67.5
56,69.19315709372,69.5763473971782,69.5265371367676,69.9455913803745,70
58,71.393474172124,71.727062020257,71.7445234289926,72.1143055405489,72.5
60,73.8157787196282,74.2841041025771,74.1275837322461,74.6306890223198,75
62,76.3465460526957,76.8711982755178,76.6435768908489,77.202560670761,77.5
64,78.7230324702476,79.2407756036891,79.0252503388936,79.5774235445297,80
66,81.1552695669249,81.7377769514898,81.4490281937791,82.0660162633802,82.5
68,83.1932995282267,83.5866222861596,83.4926847392625,83.9176640590135,85
70,85.6110149543737,86.0249288141043,85.8993809330533,86.3439880843951,87.5
72,88.0599295551748,88.601081073749,88.3193004261924,88.8902624751681,90
74,90.3789956706377,90.9096495785975,90.6154488069857,91.1733326583903,92.5
76,92.8817906435642,93.6169109483889,92.9756345129661,93.7269512166837,95
78,95.4164883617782,96.2115101689052,95.4903364352183,96.3001313209757,97.5
80,97.8217666849229,98.6924427624065,97.8653867407676,98.7485152605395,100
